SEND_SQL,SEND_DATABASE,RECEIVE_DATABASE,DEST,TRANS_STATUS,SEND_DATE_UTC,SEND_DATE_LOC,SEND_UTC_OFFSET,SEND_DATA_ROW,SEND_RECORD,SEND_VOLUME,SIZE_IN_MB,SEND_IDRS_NODE,REC_IDRS_NODE,SEND_PRODUCT,REC_PRODUCT,SEND_BU,REC_BU,SEND_COUNTRY,REC_COUNTRY,RECEIVE_DATE_UTC,RECEIVE_DATE_LOC,REC_UTC_OFFSET,BATCH_NAME,BATCH_DATE
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/19/2019 18:57,10/19/2019 18:57,+00:00,825932,825955,999357950,953.06,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/19/2019 18:59,10/19/2019 18:59,+00:00,ITSCPIX2,10/19/2019 18:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/20/2019 18:55,10/20/2019 18:55,+00:00,480710,480733,589317295,562.02,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/20/2019 19:00,10/20/2019 19:00,+00:00,ITSCPIX2,10/20/2019 18:55
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/21/2019 20:40,10/21/2019 20:40,+00:00,1008913,1008936,999217575,952.93,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/21/2019 20:42,10/21/2019 20:42,+00:00,ITSCPIX2,10/21/2019 20:40
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/22/2019 19:00,10/22/2019 19:00,+00:00,1624404,1624427,999149199,952.86,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/22/2019 19:02,10/22/2019 19:02,+00:00,ITSCPIX2,10/22/2019 19:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/23/2019 19:03,10/23/2019 19:03,+00:00,1605833,1605856,999363683,953.07,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/23/2019 19:08,10/23/2019 19:08,+00:00,ITSCPIX2,10/23/2019 19:03
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/24/2019 19:01,10/24/2019 19:01,+00:00,1598270,1598293,999103477,952.82,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/24/2019 19:04,10/24/2019 19:04,+00:00,ITSCPIX2,10/24/2019 19:01
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/25/2019 19:04,10/25/2019 19:04,+00:00,1393382,1393405,999974326,953.65,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/25/2019 19:09,10/25/2019 19:09,+00:00,ITSCPIX2,10/25/2019 19:04
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/26/2019 19:00,10/26/2019 19:00,+00:00,1278646,1278669,999340465,953.05,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/26/2019 19:05,10/26/2019 19:05,+00:00,ITSCPIX2,10/26/2019 19:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/27/2019 19:53,10/27/2019 19:53,+00:00,467673,467696,573302184,546.74,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/27/2019 19:56,10/27/2019 19:56,+00:00,ITSCPIX2,10/27/2019 19:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/28/2019 19:54,10/28/2019 19:54,+00:00,1703300,1703323,999755724,953.44,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/28/2019 19:58,10/28/2019 19:58,+00:00,ITSCPIX2,10/28/2019 19:54
